Date,SP500_Close,VIX,US_RATE,USD_KRW
2003-12-01,1070.1199951171875,16.770000457763672,4.392000198364258,1198.4000244140625
2003-12-02,1066.6199951171875,16.270000457763672,4.380000114440918,1195.0
2003-12-03,1064.72998046875,16.6299991607666,4.409999847412109,1192.5
2003-12-04,1069.719970703125,16.299999237060547,4.36899995803833,1190.0999755859375
2003-12-05,1061.5,17.09000015258789,4.215000152587891,1184.699951171875
2003-12-08,1069.300048828125,16.540000915527344,4.2779998779296875,1185.5999755859375
2003-12-09,1060.1800537109375,17.6299991607666,4.3520002365112305,1182.699951171875
2003-12-10,1059.050048828125,17.8700008392334,4.317999839782715,1176.4000244140625
2003-12-11,1071.2099609375,16.729999542236328,4.23799991607666,1169.9000244140625
2003-12-12,1074.1400146484375,16.40999984741211,4.242000102996826,1173.199951171875
2003-12-15,1068.0400390625,17.229999542236328,4.275000095367432,1179.9000244140625
2003-12-16,1075.1300048828125,15.930000305175781,4.234000205993652,1179.800048828125
2003-12-17,1076.47998046875,15.579999923706055,4.189000129699707,1187.0
2003-12-18,1089.1800537109375,16.15999984741211,4.140999794006348,1183.800048828125
2003-12-19,1088.6600341796875,16.420000076293945,4.132999897003174,1192.800048828125
2003-12-22,1092.93994140625,16.940000534057617,4.164000034332275,1195.5
2003-12-23,1096.02001953125,16.489999771118164,4.269000053405762,1195.4000244140625
2003-12-24,1094.0400390625,16.65999984741211,4.186999797821045,1200.5
2003-12-26,1095.8900146484375,17.450000762939453,4.1479997634887695,1200.699951171875
2003-12-29,1109.47998046875,17.09000015258789,4.230000019073486,1186.0999755859375
2003-12-30,1109.6400146484375,17.68000030517578,4.2789998054504395,1194.800048828125
2003-12-31,1111.9200439453125,18.309999465942383,4.256999969482422,1189.9000244140625
2004-01-02,1108.47998046875,18.219999313354492,4.373000144958496,1195.800048828125
2004-01-05,1122.219970703125,17.489999771118164,4.38700008392334,1178.9000244140625
